x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-26.9037,15.588,-52.5337,-2.13834,-1.28831,-3.86736,6654.22,-3.56323,-286.308
-29.4155,101.267,-30.4973,-0.953495,-1.51665,-3.18289,6654.22,-3.56323,-286.308
-32.3603,159.769,-14.2193,-0.411788,-1.89745,-2.3673,6654.22,-3.56323,-286.308
-32.5351,182.979,-8.51913,-0.263028,-2.04431,-2.08578,6654.22,-3.56323,-286.308
-29.2914,98.6336,-30.8141,-0.977732,-1.50382,-3.21508,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-27.9012,65.914,-39.2882,-1.44863,-1.35463,-3.59831,6654.22,-3.56323,-286.308
-26.7444,35.3112,-47.2312,-1.88008,-1.28468,-3.8375,6654.22,-3.56323,-286.308
-32.5873,180.495,-8.53175,-0.266121,-2.03577,-2.11476,6654.22,-3.56323,-286.308
-32.3504,200.843,-3.73178,-0.246356,-2.1799,-1.82718,6654.22,-3.56323,-286.308
-27.7644,63.2245,-39.6258,-1.47479,-1.34723,-3.62675,6654.22,-3.56323,-286.308
-29.0688,93.3638,-31.4032,-1.02088,-1.48428,-3.28407,6654.22,-3.56323,-286.308
-30.3814,122.935,-23.3403,-0.662201,-1.66766,-2.89282,6654.22,-3.56323,-286.308
-27.6273,60.5308,-39.957,-1.49951,-1.34151,-3.65076,6654.22,-3.56323,-286.308
-26.8832,7.5032,-52.765,-2.13547,-1.29759,-3.86413,6654.22,-3.56323,-286.308
-28.8977,90.7011,-31.7937,-1.04691,-1.47324,-3.31902,6654.22,-3.56323,-286.308
-26.6585,29.9301,-47.5531,-1.90803,-1.28416,-3.85287,6654.22,-3.56323,-286.308
-31.806,149.496,-15.4667,-0.445596,-1.85458,-2.51232,6654.22,-3.56323,-286.308
-27.5132,57.8431,-40.2493,-1.5213,-1.33806,-3.67612,6654.22,-3.56323,-286.308
-30.0924,117.711,-24.011,-0.695384,-1.6428,-2.96418,6654.22,-3.56323,-286.308
